"","submission_id","age","comments","education","emphasis","experiment_duration","experiment_end_time","experiment_start_time","fragment_type","gender","languages","modality","prolific_pid","prolific_session_id","prolific_study_id","response","responseTime","trial_number","trial_type","monolingual"
"20",21,29,"","Höherer Abschluss","with",555035,"1,69021E+12","1,69021E+12","functional","männlich","Deutsch","auditory","5d8c96e60ef92e001a7b8876","64be99c329ecc01727f259be","64ba4c8d312ce994ea1f9971",7,7384,20,"Critical","yes"
"22",21,29,"","Höherer Abschluss","without",555035,"1,69021E+12","1,69021E+12","lexical","männlich","Deutsch","auditory","5d8c96e60ef92e001a7b8876","64be99c329ecc01727f259be","64ba4c8d312ce994ea1f9971",7,6725,22,"Critical","yes"
"24",21,29,"","Höherer Abschluss","with",555035,"1,69021E+12","1,69021E+12","lexical","männlich","Deutsch","auditory","5d8c96e60ef92e001a7b8876","64be99c329ecc01727f259be","64ba4c8d312ce994ea1f9971",7,7898,24,"Critical","yes"
"26",21,29,"","Höherer Abschluss","without",555035,"1,69021E+12","1,69021E+12","functional","männlich","Deutsch","auditory","5d8c96e60ef92e001a7b8876","64be99c329ecc01727f259be","64ba4c8d312ce994ea1f9971",7,8456,26,"Critical","yes"
"27",21,29,"","Höherer Abschluss","without",555035,"1,69021E+12","1,69021E+12","functional","männlich","Deutsch","auditory","5d8c96e60ef92e001a7b8876","64be99c329ecc01727f259be","64ba4c8d312ce994ea1f9971",7,7140,27,"Critical","yes"
"29",21,29,"","Höherer Abschluss","without",555035,"1,69021E+12","1,69021E+12","functional","männlich","Deutsch","auditory","5d8c96e60ef92e001a7b8876","64be99c329ecc01727f259be","64ba4c8d312ce994ea1f9971",7,8011,29,"Critical","yes"
"30",21,29,"","Höherer Abschluss","with",555035,"1,69021E+12","1,69021E+12","lexical","männlich","Deutsch","auditory","5d8c96e60ef92e001a7b8876","64be99c329ecc01727f259be","64ba4c8d312ce994ea1f9971",7,7614,30,"Critical","yes"
"33",21,29,"","Höherer Abschluss","with",555035,"1,69021E+12","1,69021E+12","functional","männlich","Deutsch","auditory","5d8c96e60ef92e001a7b8876","64be99c329ecc01727f259be","64ba4c8d312ce994ea1f9971",7,8013,33,"Critical","yes"
"35",21,29,"","Höherer Abschluss","without",555035,"1,69021E+12","1,69021E+12","lexical","männlich","Deutsch","auditory","5d8c96e60ef92e001a7b8876","64be99c329ecc01727f259be","64ba4c8d312ce994ea1f9971",7,7513,35,"Critical","yes"
"41",21,29,"","Höherer Abschluss","without",555035,"1,69021E+12","1,69021E+12","lexical","männlich","Deutsch","auditory","5d8c96e60ef92e001a7b8876","64be99c329ecc01727f259be","64ba4c8d312ce994ea1f9971",7,6814,41,"Critical","yes"
"42",21,29,"","Höherer Abschluss","without",555035,"1,69021E+12","1,69021E+12","functional","männlich","Deutsch","auditory","5d8c96e60ef92e001a7b8876","64be99c329ecc01727f259be","64ba4c8d312ce994ea1f9971",7,7296,42,"Critical","yes"
"44",21,29,"","Höherer Abschluss","without",555035,"1,69021E+12","1,69021E+12","lexical","männlich","Deutsch","auditory","5d8c96e60ef92e001a7b8876","64be99c329ecc01727f259be","64ba4c8d312ce994ea1f9971",7,7160,44,"Critical","yes"
"45",21,29,"","Höherer Abschluss","with",555035,"1,69021E+12","1,69021E+12","functional","männlich","Deutsch","auditory","5d8c96e60ef92e001a7b8876","64be99c329ecc01727f259be","64ba4c8d312ce994ea1f9971",7,8104,45,"Critical","yes"
"47",21,29,"","Höherer Abschluss","with",555035,"1,69021E+12","1,69021E+12","lexical","männlich","Deutsch","auditory","5d8c96e60ef92e001a7b8876","64be99c329ecc01727f259be","64ba4c8d312ce994ea1f9971",7,7507,47,"Critical","yes"
"48",21,29,"","Höherer Abschluss","without",555035,"1,69021E+12","1,69021E+12","lexical","männlich","Deutsch","auditory","5d8c96e60ef92e001a7b8876","64be99c329ecc01727f259be","64ba4c8d312ce994ea1f9971",7,7880,48,"Critical","yes"
"52",21,29,"","Höherer Abschluss","with",555035,"1,69021E+12","1,69021E+12","functional","männlich","Deutsch","auditory","5d8c96e60ef92e001a7b8876","64be99c329ecc01727f259be","64ba4c8d312ce994ea1f9971",7,7950,52,"Critical","yes"
"53",21,29,"","Höherer Abschluss","without",555035,"1,69021E+12","1,69021E+12","lexical","männlich","Deutsch","auditory","5d8c96e60ef92e001a7b8876","64be99c329ecc01727f259be","64ba4c8d312ce994ea1f9971",7,7865,53,"Critical","yes"
"55",21,29,"","Höherer Abschluss","without",555035,"1,69021E+12","1,69021E+12","functional","männlich","Deutsch","auditory","5d8c96e60ef92e001a7b8876","64be99c329ecc01727f259be","64ba4c8d312ce994ea1f9971",7,7021,55,"Critical","yes"
"57",22,21,"","Abitur","without",326439,"1,69021E+12","1,69021E+12","functional","männlich","Deutsch","written","5bb8a14e002f190001a30ec7","64be96bd92df55f996900995","64ba4c8d312ce994ea1f9971",6,12332,1,"Critical","yes"
"59",22,21,"","Abitur","without",326439,"1,69021E+12","1,69021E+12","lexical","männlich","Deutsch","written","5bb8a14e002f190001a30ec7","64be96bd92df55f996900995","64ba4c8d312ce994ea1f9971",7,4228,3,"Critical","yes"
"60",22,21,"","Abitur","without",326439,"1,69021E+12","1,69021E+12","lexical","männlich","Deutsch","written","5bb8a14e002f190001a30ec7","64be96bd92df55f996900995","64ba4c8d312ce994ea1f9971",6,5618,4,"Critical","yes"
"61",22,21,"","Abitur","without",326439,"1,69021E+12","1,69021E+12","functional","männlich","Deutsch","written","5bb8a14e002f190001a30ec7","64be96bd92df55f996900995","64ba4c8d312ce994ea1f9971",6,65460,5,"Critical","yes"
"62",22,21,"","Abitur","without",326439,"1,69021E+12","1,69021E+12","lexical","männlich","Deutsch","written","5bb8a14e002f190001a30ec7","64be96bd92df55f996900995","64ba4c8d312ce994ea1f9971",6,3994,6,"Critical","yes"
"63",22,21,"","Abitur","with",326439,"1,69021E+12","1,69021E+12","lexical","männlich","Deutsch","written","5bb8a14e002f190001a30ec7","64be96bd92df55f996900995","64ba4c8d312ce994ea1f9971",6,3874,7,"Critical","yes"
"64",22,21,"","Abitur","without",326439,"1,69021E+12","1,69021E+12","lexical","männlich","Deutsch","written","5bb8a14e002f190001a30ec7","64be96bd92df55f996900995","64ba4c8d312ce994ea1f9971",7,2964,8,"Critical","yes"
"66",22,21,"","Abitur","without",326439,"1,69021E+12","1,69021E+12","functional","männlich","Deutsch","written","5bb8a14e002f190001a30ec7","64be96bd92df55f996900995","64ba4c8d312ce994ea1f9971",5,2087,10,"Critical","yes"
"67",22,21,"","Abitur","without",326439,"1,69021E+12","1,69021E+12","lexical","männlich","Deutsch","written","5bb8a14e002f190001a30ec7","64be96bd92df55f996900995","64ba4c8d312ce994ea1f9971",6,2942,11,"Critical","yes"
"75",22,21,"","Abitur","with",326439,"1,69021E+12","1,69021E+12","lexical","männlich","Deutsch","written","5bb8a14e002f190001a30ec7","64be96bd92df55f996900995","64ba4c8d312ce994ea1f9971",6,3899,19,"Critical","yes"
"78",22,21,"","Abitur","with",326439,"1,69021E+12","1,69021E+12","functional","männlich","Deutsch","written","5bb8a14e002f190001a30ec7","64be96bd92df55f996900995","64ba4c8d312ce994ea1f9971",6,2772,22,"Critical","yes"
"80",22,21,"","Abitur","without",326439,"1,69021E+12","1,69021E+12","functional","männlich","Deutsch","written","5bb8a14e002f190001a30ec7","64be96bd92df55f996900995","64ba4c8d312ce994ea1f9971",6,4303,24,"Critical","yes"
"81",22,21,"","Abitur","with",326439,"1,69021E+12","1,69021E+12","functional","männlich","Deutsch","written","5bb8a14e002f190001a30ec7","64be96bd92df55f996900995","64ba4c8d312ce994ea1f9971",6,2887,25,"Critical","yes"
"82",22,21,"","Abitur","with",326439,"1,69021E+12","1,69021E+12","lexical","männlich","Deutsch","written","5bb8a14e002f190001a30ec7","64be96bd92df55f996900995","64ba4c8d312ce994ea1f9971",6,7546,26,"Critical","yes"
"85",22,21,"","Abitur","without",326439,"1,69021E+12","1,69021E+12","lexical","männlich","Deutsch","written","5bb8a14e002f190001a30ec7","64be96bd92df55f996900995","64ba4c8d312ce994ea1f9971",6,2870,29,"Critical","yes"
"88",22,21,"","Abitur","with",326439,"1,69021E+12","1,69021E+12","functional","männlich","Deutsch","written","5bb8a14e002f190001a30ec7","64be96bd92df55f996900995","64ba4c8d312ce994ea1f9971",5,2868,32,"Critical","yes"
"90",22,21,"","Abitur","without",326439,"1,69021E+12","1,69021E+12","functional","männlich","Deutsch","written","5bb8a14e002f190001a30ec7","64be96bd92df55f996900995","64ba4c8d312ce994ea1f9971",6,5951,34,"Critical","yes"
"93",22,21,"","Abitur","with",326439,"1,69021E+12","1,69021E+12","functional","männlich","Deutsch","written","5bb8a14e002f190001a30ec7","64be96bd92df55f996900995","64ba4c8d312ce994ea1f9971",6,4083,37,"Critical","yes"
"95",22,21,"","Abitur","with",326439,"1,69021E+12","1,69021E+12","functional","männlich","Deutsch","written","5bb8a14e002f190001a30ec7","64be96bd92df55f996900995","64ba4c8d312ce994ea1f9971",6,2430,39,"Critical","yes"
"100",22,21,"","Abitur","without",326439,"1,69021E+12","1,69021E+12","functional","männlich","Deutsch","written","5bb8a14e002f190001a30ec7","64be96bd92df55f996900995","64ba4c8d312ce994ea1f9971",7,3788,44,"Critical","yes"
"101",22,21,"","Abitur","with",326439,"1,69021E+12","1,69021E+12","lexical","männlich","Deutsch","written","5bb8a14e002f190001a30ec7","64be96bd92df55f996900995","64ba4c8d312ce994ea1f9971",6,13759,45,"Critical","yes"
"103",22,21,"","Abitur","with",326439,"1,69021E+12","1,69021E+12","functional","männlich","Deutsch","written","5bb8a14e002f190001a30ec7","64be96bd92df55f996900995","64ba4c8d312ce994ea1f9971",6,3391,47,"Critical","yes"
"104",22,21,"","Abitur","without",326439,"1,69021E+12","1,69021E+12","functional","männlich","Deutsch","written","5bb8a14e002f190001a30ec7","64be96bd92df55f996900995","64ba4c8d312ce994ea1f9971",7,3303,48,"Critical","yes"
"106",22,21,"","Abitur","with",326439,"1,69021E+12","1,69021E+12","lexical","männlich","Deutsch","written","5bb8a14e002f190001a30ec7","64be96bd92df55f996900995","64ba4c8d312ce994ea1f9971",4,3747,50,"Critical","yes"
"107",22,21,"","Abitur","without",326439,"1,69021E+12","1,69021E+12","lexical","männlich","Deutsch","written","5bb8a14e002f190001a30ec7","64be96bd92df55f996900995","64ba4c8d312ce994ea1f9971",6,2103,51,"Critical","yes"
"108",22,21,"","Abitur","with",326439,"1,69021E+12","1,69021E+12","lexical","männlich","Deutsch","written","5bb8a14e002f190001a30ec7","64be96bd92df55f996900995","64ba4c8d312ce994ea1f9971",6,3044,52,"Critical","yes"
"110",22,21,"","Abitur","with",326439,"1,69021E+12","1,69021E+12","functional","männlich","Deutsch","written","5bb8a14e002f190001a30ec7","64be96bd92df55f996900995","64ba4c8d312ce994ea1f9971",6,4321,54,"Critical","yes"
"111",22,21,"","Abitur","with",326439,"1,69021E+12","1,69021E+12","lexical","männlich","Deutsch","written","5bb8a14e002f190001a30ec7","64be96bd92df55f996900995","64ba4c8d312ce994ea1f9971",6,4443,55,"Critical","yes"
"114",23,29,"","Abitur","with",627762,"1,69021E+12","1,69021E+12","lexical","männlich","deutsch","written","5e6a3e3d265930022e81c70b","64be9a10d3e12291dd6b77ca","64ba4c8d312ce994ea1f9971",7,10128,2,"Critical","yes"
"117",23,29,"","Abitur","with",627762,"1,69021E+12","1,69021E+12","lexical","männlich","deutsch","written","5e6a3e3d265930022e81c70b","64be9a10d3e12291dd6b77ca","64ba4c8d312ce994ea1f9971",7,11949,5,"Critical","yes"
"118",23,29,"","Abitur","without",627762,"1,69021E+12","1,69021E+12","lexical","männlich","deutsch","written","5e6a3e3d265930022e81c70b","64be9a10d3e12291dd6b77ca","64ba4c8d312ce994ea1f9971",7,8304,6,"Critical","yes"
"120",23,29,"","Abitur","with",627762,"1,69021E+12","1,69021E+12","lexical","männlich","deutsch","written","5e6a3e3d265930022e81c70b","64be9a10d3e12291dd6b77ca","64ba4c8d312ce994ea1f9971",7,12858,8,"Critical","yes"
"121",23,29,"","Abitur","without",627762,"1,69021E+12","1,69021E+12","functional","männlich","deutsch","written","5e6a3e3d265930022e81c70b","64be9a10d3e12291dd6b77ca","64ba4c8d312ce994ea1f9971",6,7447,9,"Critical","yes"
"123",23,29,"","Abitur","with",627762,"1,69021E+12","1,69021E+12","lexical","männlich","deutsch","written","5e6a3e3d265930022e81c70b","64be9a10d3e12291dd6b77ca","64ba4c8d312ce994ea1f9971",7,5999,11,"Critical","yes"
"125",23,29,"","Abitur","without",627762,"1,69021E+12","1,69021E+12","lexical","männlich","deutsch","written","5e6a3e3d265930022e81c70b","64be9a10d3e12291dd6b77ca","64ba4c8d312ce994ea1f9971",7,7780,13,"Critical","yes"
"127",23,29,"","Abitur","without",627762,"1,69021E+12","1,69021E+12","lexical","männlich","deutsch","written","5e6a3e3d265930022e81c70b","64be9a10d3e12291dd6b77ca","64ba4c8d312ce994ea1f9971",7,11005,15,"Critical","yes"
"130",23,29,"","Abitur","without",627762,"1,69021E+12","1,69021E+12","functional","männlich","deutsch","written","5e6a3e3d265930022e81c70b","64be9a10d3e12291dd6b77ca","64ba4c8d312ce994ea1f9971",7,9444,18,"Critical","yes"
"133",23,29,"","Abitur","without",627762,"1,69021E+12","1,69021E+12","functional","männlich","deutsch","written","5e6a3e3d265930022e81c70b","64be9a10d3e12291dd6b77ca","64ba4c8d312ce994ea1f9971",7,7207,21,"Critical","yes"
"134",23,29,"","Abitur","with",627762,"1,69021E+12","1,69021E+12","functional","männlich","deutsch","written","5e6a3e3d265930022e81c70b","64be9a10d3e12291dd6b77ca","64ba4c8d312ce994ea1f9971",7,8440,22,"Critical","yes"
"137",23,29,"","Abitur","without",627762,"1,69021E+12","1,69021E+12","functional","männlich","deutsch","written","5e6a3e3d265930022e81c70b","64be9a10d3e12291dd6b77ca","64ba4c8d312ce994ea1f9971",7,5790,25,"Critical","yes"
"139",23,29,"","Abitur","without",627762,"1,69021E+12","1,69021E+12","functional","männlich","deutsch","written","5e6a3e3d265930022e81c70b","64be9a10d3e12291dd6b77ca","64ba4c8d312ce994ea1f9971",7,15134,27,"Critical","yes"
"141",23,29,"","Abitur","without",627762,"1,69021E+12","1,69021E+12","lexical","männlich","deutsch","written","5e6a3e3d265930022e81c70b","64be9a10d3e12291dd6b77ca","64ba4c8d312ce994ea1f9971",7,4313,29,"Critical","yes"
"142",23,29,"","Abitur","without",627762,"1,69021E+12","1,69021E+12","lexical","männlich","deutsch","written","5e6a3e3d265930022e81c70b","64be9a10d3e12291dd6b77ca","64ba4c8d312ce994ea1f9971",7,4694,30,"Critical","yes"
"145",23,29,"","Abitur","with",627762,"1,69021E+12","1,69021E+12","lexical","männlich","deutsch","written","5e6a3e3d265930022e81c70b","64be9a10d3e12291dd6b77ca","64ba4c8d312ce994ea1f9971",7,9153,33,"Critical","yes"
"149",23,29,"","Abitur","without",627762,"1,69021E+12","1,69021E+12","functional","männlich","deutsch","written","5e6a3e3d265930022e81c70b","64be9a10d3e12291dd6b77ca","64ba4c8d312ce994ea1f9971",7,5004,37,"Critical","yes"
"151",23,29,"","Abitur","without",627762,"1,69021E+12","1,69021E+12","lexical","männlich","deutsch","written","5e6a3e3d265930022e81c70b","64be9a10d3e12291dd6b77ca","64ba4c8d312ce994ea1f9971",7,6852,39,"Critical","yes"
"152",23,29,"","Abitur","with",627762,"1,69021E+12","1,69021E+12","functional","männlich","deutsch","written","5e6a3e3d265930022e81c70b","64be9a10d3e12291dd6b77ca","64ba4c8d312ce994ea1f9971",7,5487,40,"Critical","yes"
"153",23,29,"","Abitur","with",627762,"1,69021E+12","1,69021E+12","functional","männlich","deutsch","written","5e6a3e3d265930022e81c70b","64be9a10d3e12291dd6b77ca","64ba4c8d312ce994ea1f9971",7,6386,41,"Critical","yes"
"154",23,29,"","Abitur","with",627762,"1,69021E+12","1,69021E+12","functional","männlich","deutsch","written","5e6a3e3d265930022e81c70b","64be9a10d3e12291dd6b77ca","64ba4c8d312ce994ea1f9971",7,13763,42,"Critical","yes"
"156",23,29,"","Abitur","with",627762,"1,69021E+12","1,69021E+12","functional","männlich","deutsch","written","5e6a3e3d265930022e81c70b","64be9a10d3e12291dd6b77ca","64ba4c8d312ce994ea1f9971",7,4924,44,"Critical","yes"
"159",23,29,"","Abitur","without",627762,"1,69021E+12","1,69021E+12","functional","männlich","deutsch","written","5e6a3e3d265930022e81c70b","64be9a10d3e12291dd6b77ca","64ba4c8d312ce994ea1f9971",7,5359,47,"Critical","yes"
"160",23,29,"","Abitur","with",627762,"1,69021E+12","1,69021E+12","lexical","männlich","deutsch","written","5e6a3e3d265930022e81c70b","64be9a10d3e12291dd6b77ca","64ba4c8d312ce994ea1f9971",7,5934,48,"Critical","yes"
"162",23,29,"","Abitur","with",627762,"1,69021E+12","1,69021E+12","functional","männlich","deutsch","written","5e6a3e3d265930022e81c70b","64be9a10d3e12291dd6b77ca","64ba4c8d312ce994ea1f9971",7,8453,50,"Critical","yes"
"163",23,29,"","Abitur","without",627762,"1,69021E+12","1,69021E+12","lexical","männlich","deutsch","written","5e6a3e3d265930022e81c70b","64be9a10d3e12291dd6b77ca","64ba4c8d312ce994ea1f9971",7,4889,51,"Critical","yes"
"164",23,29,"","Abitur","with",627762,"1,69021E+12","1,69021E+12","lexical","männlich","deutsch","written","5e6a3e3d265930022e81c70b","64be9a10d3e12291dd6b77ca","64ba4c8d312ce994ea1f9971",7,7059,52,"Critical","yes"
"168",23,29,"","Abitur","with",627762,"1,69021E+12","1,69021E+12","functional","männlich","deutsch","written","5e6a3e3d265930022e81c70b","64be9a10d3e12291dd6b77ca","64ba4c8d312ce994ea1f9971",7,3294,56,"Critical","yes"
"169",24,26,"","Bachelor","with",1731153,"1,69021E+12","1,69021E+12","functional","männlich","Deutsch","auditory","5cc47a4f68d02c00131d0d2b","64be967a74f38f7d0978c4b6","64ba4c8d312ce994ea1f9971",6,816845,1,"Critical","yes"
"171",24,26,"","Bachelor","without",1731153,"1,69021E+12","1,69021E+12","lexical","männlich","Deutsch","auditory","5cc47a4f68d02c00131d0d2b","64be967a74f38f7d0978c4b6","64ba4c8d312ce994ea1f9971",7,9279,3,"Critical","yes"
"172",24,26,"","Bachelor","without",1731153,"1,69021E+12","1,69021E+12","lexical","männlich","Deutsch","auditory","5cc47a4f68d02c00131d0d2b","64be967a74f38f7d0978c4b6","64ba4c8d312ce994ea1f9971",6,12342,4,"Critical","yes"
"173",24,26,"","Bachelor","with",1731153,"1,69021E+12","1,69021E+12","lexical","männlich","Deutsch","auditory","5cc47a4f68d02c00131d0d2b","64be967a74f38f7d0978c4b6","64ba4c8d312ce994ea1f9971",7,11917,5,"Critical","yes"
"174",24,26,"","Bachelor","with",1731153,"1,69021E+12","1,69021E+12","lexical","männlich","Deutsch","auditory","5cc47a4f68d02c00131d0d2b","64be967a74f38f7d0978c4b6","64ba4c8d312ce994ea1f9971",7,14869,6,"Critical","yes"
"176",24,26,"","Bachelor","with",1731153,"1,69021E+12","1,69021E+12","lexical","männlich","Deutsch","auditory","5cc47a4f68d02c00131d0d2b","64be967a74f38f7d0978c4b6","64ba4c8d312ce994ea1f9971",5,13679,8,"Critical","yes"
"178",24,26,"","Bachelor","with",1731153,"1,69021E+12","1,69021E+12","functional","männlich","Deutsch","auditory","5cc47a4f68d02c00131d0d2b","64be967a74f38f7d0978c4b6","64ba4c8d312ce994ea1f9971",7,9039,10,"Critical","yes"
"180",24,26,"","Bachelor","with",1731153,"1,69021E+12","1,69021E+12","lexical","männlich","Deutsch","auditory","5cc47a4f68d02c00131d0d2b","64be967a74f38f7d0978c4b6","64ba4c8d312ce994ea1f9971",6,7940,12,"Critical","yes"
"184",24,26,"","Bachelor","with",1731153,"1,69021E+12","1,69021E+12","lexical","männlich","Deutsch","auditory","5cc47a4f68d02c00131d0d2b","64be967a74f38f7d0978c4b6","64ba4c8d312ce994ea1f9971",6,8971,16,"Critical","yes"
"186",24,26,"","Bachelor","without",1731153,"1,69021E+12","1,69021E+12","functional","männlich","Deutsch","auditory","5cc47a4f68d02c00131d0d2b","64be967a74f38f7d0978c4b6","64ba4c8d312ce994ea1f9971",7,8549,18,"Critical","yes"
"189",24,26,"","Bachelor","with",1731153,"1,69021E+12","1,69021E+12","functional","männlich","Deutsch","auditory","5cc47a4f68d02c00131d0d2b","64be967a74f38f7d0978c4b6","64ba4c8d312ce994ea1f9971",7,7927,21,"Critical","yes"
"190",24,26,"","Bachelor","without",1731153,"1,69021E+12","1,69021E+12","functional","männlich","Deutsch","auditory","5cc47a4f68d02c00131d0d2b","64be967a74f38f7d0978c4b6","64ba4c8d312ce994ea1f9971",7,8200,22,"Critical","yes"
"191",24,26,"","Bachelor","without",1731153,"1,69021E+12","1,69021E+12","functional","männlich","Deutsch","auditory","5cc47a4f68d02c00131d0d2b","64be967a74f38f7d0978c4b6","64ba4c8d312ce994ea1f9971",7,7546,23,"Critical","yes"
"192",24,26,"","Bachelor","without",1731153,"1,69021E+12","1,69021E+12","lexical","männlich","Deutsch","auditory","5cc47a4f68d02c00131d0d2b","64be967a74f38f7d0978c4b6","64ba4c8d312ce994ea1f9971",7,7757,24,"Critical","yes"
"194",24,26,"","Bachelor","without",1731153,"1,69021E+12","1,69021E+12","functional","männlich","Deutsch","auditory","5cc47a4f68d02c00131d0d2b","64be967a74f38f7d0978c4b6","64ba4c8d312ce994ea1f9971",7,7686,26,"Critical","yes"
"198",24,26,"","Bachelor","without",1731153,"1,69021E+12","1,69021E+12","functional","männlich","Deutsch","auditory","5cc47a4f68d02c00131d0d2b","64be967a74f38f7d0978c4b6","64ba4c8d312ce994ea1f9971",7,7517,30,"Critical","yes"
"199",24,26,"","Bachelor","without",1731153,"1,69021E+12","1,69021E+12","functional","männlich","Deutsch","auditory","5cc47a4f68d02c00131d0d2b","64be967a74f38f7d0978c4b6","64ba4c8d312ce994ea1f9971",7,8349,31,"Critical","yes"
"200",24,26,"","Bachelor","with",1731153,"1,69021E+12","1,69021E+12","lexical","männlich","Deutsch","auditory","5cc47a4f68d02c00131d0d2b","64be967a74f38f7d0978c4b6","64ba4c8d312ce994ea1f9971",7,7731,32,"Critical","yes"
"201",24,26,"","Bachelor","with",1731153,"1,69021E+12","1,69021E+12","lexical","männlich","Deutsch","auditory","5cc47a4f68d02c00131d0d2b","64be967a74f38f7d0978c4b6","64ba4c8d312ce994ea1f9971",7,7769,33,"Critical","yes"
"203",24,26,"","Bachelor","without",1731153,"1,69021E+12","1,69021E+12","functional","männlich","Deutsch","auditory","5cc47a4f68d02c00131d0d2b","64be967a74f38f7d0978c4b6","64ba4c8d312ce994ea1f9971",7,8563,35,"Critical","yes"
"204",24,26,"","Bachelor","without",1731153,"1,69021E+12","1,69021E+12","lexical","männlich","Deutsch","auditory","5cc47a4f68d02c00131d0d2b","64be967a74f38f7d0978c4b6","64ba4c8d312ce994ea1f9971",7,6634,36,"Critical","yes"
"211",24,26,"","Bachelor","with",1731153,"1,69021E+12","1,69021E+12","functional","männlich","Deutsch","auditory","5cc47a4f68d02c00131d0d2b","64be967a74f38f7d0978c4b6","64ba4c8d312ce994ea1f9971",7,7413,43,"Critical","yes"
"213",24,26,"","Bachelor","without",1731153,"1,69021E+12","1,69021E+12","lexical","männlich","Deutsch","auditory","5cc47a4f68d02c00131d0d2b","64be967a74f38f7d0978c4b6","64ba4c8d312ce994ea1f9971",7,6376,45,"Critical","yes"
"216",24,26,"","Bachelor","with",1731153,"1,69021E+12","1,69021E+12","functional","männlich","Deutsch","auditory","5cc47a4f68d02c00131d0d2b","64be967a74f38f7d0978c4b6","64ba4c8d312ce994ea1f9971",7,8565,48,"Critical","yes"
"217",24,26,"","Bachelor","without",1731153,"1,69021E+12","1,69021E+12","lexical","männlich","Deutsch","auditory","5cc47a4f68d02c00131d0d2b","64be967a74f38f7d0978c4b6","64ba4c8d312ce994ea1f9971",7,8798,49,"Critical","yes"
"222",24,26,"","Bachelor","without",1731153,"1,69021E+12","1,69021E+12","lexical","männlich","Deutsch","auditory","5cc47a4f68d02c00131d0d2b","64be967a74f38f7d0978c4b6","64ba4c8d312ce994ea1f9971",7,6383,54,"Critical","yes"
"223",24,26,"","Bachelor","with",1731153,"1,69021E+12","1,69021E+12","functional","männlich","Deutsch","auditory","5cc47a4f68d02c00131d0d2b","64be967a74f38f7d0978c4b6","64ba4c8d312ce994ea1f9971",7,11486,55,"Critical","yes"
"224",24,26,"","Bachelor","with",1731153,"1,69021E+12","1,69021E+12","functional","männlich","Deutsch","auditory","5cc47a4f68d02c00131d0d2b","64be967a74f38f7d0978c4b6","64ba4c8d312ce994ea1f9971",7,8992,56,"Critical","yes"
"225",25,29,"","Höherer Abschluss","without",561597,"1,69038E+12","1,69038E+12","lexical","weiblich","Deutsch","auditory","5fcf9f17f5a7c20ba38e9cc9","64c12be061515deaa048cd80","64ba4c8d312ce994ea1f9971",6,13122,1,"Critical","yes"
